Accuracy,Loss,Number of Clients,Centralized
0.9197410941123962,0.2425849437713623,7,Centralized
0.8970873951911926,0.3625309765338897,7,Federated
0.8854368925094604,0.6367543935775757,7,Centralized
0.8799352645874023,0.5808031558990479,7,Federated
0.8944984078407288,0.3950155079364776,7,Centralized
0.9048543572425842,0.3010494709014892,7,Federated
0.8909385204315186,0.5510801076889038,7,Centralized
0.8656957745552063,0.5616319179534912,7,Federated
0.8640776872634888,0.8129802346229553,7,Centralized
0.8773462772369385,0.5554314255714417,7,Federated
0.9035598635673524,0.4503419995307922,7,Centralized
0.8841423988342285,0.4951050579547882,7,Federated
0.8974109888076782,0.5428847074508667,7,Centralized
0.8857605457305908,0.4224401712417602,7,Federated
0.8987054824829102,0.4247578680515289,7,Centralized
0.8828479051589966,0.4954962432384491,7,Federated
0.9122977256774902,0.3608303368091583,7,Centralized
0.8847896456718445,0.4895881414413452,7,Federated
0.9352750778198242,0.2033191323280334,8,Centralized
0.8854368925094604,0.5077469944953918,8,Federated
0.9288026094436646,0.222924068570137,8,Centralized
0.8867313861846924,0.4324634671211242,8,Federated
0.9032362699508668,0.4605070650577545,8,Centralized
0.8689320683479309,0.6302749514579773,8,Federated
0.9110032320022584,0.3235119879245758,8,Centralized
0.8877022862434387,0.4588318765163421,8,Federated
0.8961164951324463,0.6022272706031799,8,Centralized
0.8841423988342285,0.629707932472229,8,Federated
0.92233008146286,0.2518282234668731,8,Centralized
0.8970873951911926,0.3374694883823395,8,Federated
0.9213592410087584,0.2586181461811065,8,Centralized
0.8867313861846924,0.4340470731258392,8,Federated
0.9084142446517944,0.4302713572978973,8,Centralized
0.8938511610031128,0.4511061012744903,8,Federated
0.9045307636260986,0.3983981013298034,8,Centralized
0.8860841393470764,0.4617325067520141,8,Federated
0.9184466004371644,0.3050497174263,8,Centralized
0.8922330141067505,0.3993949890136719,8,Federated
0.917475700378418,0.2993384003639221,9,Centralized
0.8825242519378662,0.4474255442619324,9,Federated
0.9084142446517944,0.2929687798023224,9,Centralized
0.8864077925682068,0.3878784477710724,9,Federated
0.9045307636260986,0.36531662940979,9,Centralized
0.8763753771781921,0.487419068813324,9,Federated
0.9300971031188964,0.2120537906885147,9,Centralized
0.8783171772956848,0.3912667632102966,9,Federated
0.9113268852233888,0.5809710025787354,9,Centralized
0.8957929015159607,0.4174660444259643,9,Federated
0.9129449725151062,0.2896379232406616,9,Centralized
0.8925566077232361,0.4183785617351532,9,Federated
0.924271821975708,0.2292949855327606,9,Centralized
0.8915857672691345,0.4810228943824768,9,Federated
0.9110032320022584,0.4039927721023559,9,Centralized
0.8912621140480042,0.4549309313297272,9,Federated
0.914239466190338,0.2816320657730102,9,Centralized
0.8838187456130981,0.4927875101566314,9,Federated
0.9239482283592224,0.3070565462112427,9,Centralized
0.8954692482948303,0.51092928647995,9,Federated
0.9190938472747804,0.3088085055351257,10,Centralized
0.8961164951324463,0.3380215764045715,10,Federated
0.93236243724823,0.2342810332775116,10,Centralized
0.8993527293205261,0.4356850981712341,10,Federated
0.9365695714950562,0.175099179148674,10,Centralized
0.8925566077232361,0.4149958193302154,10,Federated
0.9288026094436646,0.2858868837356567,10,Centralized
0.8818770051002502,0.5028736591339111,10,Federated
0.9265372157096864,0.1980248540639877,10,Centralized
0.8912621140480042,0.3687036335468292,10,Federated
0.9375404715538024,0.1737602949142456,10,Centralized
0.9025890231132508,0.3076215386390686,10,Federated
0.9100323915481568,0.5219402313232422,10,Centralized
0.8724918961524963,0.686453104019165,10,Federated
0.921682834625244,0.269077330827713,10,Centralized
0.8961164951324463,0.4097387492656708,10,Federated
0.9333333373069764,0.1960120797157287,10,Centralized
0.8919093608856201,0.4099254608154297,10,Federated
0.9213592410087584,0.3048142194747925,10,Centralized
0.8721683025360107,0.5794577598571777,10,Federated
0.921682834625244,0.3066508173942566,11,Centralized
0.8970873951911926,0.3525702357292175,11,Federated
0.921682834625244,0.2875442504882812,11,Centralized
0.8812297582626343,0.5261258482933044,11,Federated
0.9362459778785706,0.2028730362653732,11,Centralized
0.8889967799186707,0.4649091362953186,11,Federated
0.926213562488556,0.269170194864273,11,Centralized
0.8935275077819824,0.371498554944992,11,Federated
0.92233008146286,0.2198964804410934,11,Centralized
0.9025890231132508,0.3344933092594147,11,Federated
0.940453052520752,0.1734943240880966,11,Centralized
0.8983818888664246,0.3757257759571075,11,Federated
0.9135922193527222,0.2883507013320923,11,Centralized
0.8867313861846924,0.4938038885593414,11,Federated
0.9181230068206788,0.475249171257019,11,Centralized
0.8877022862434387,0.4961146116256714,11,Federated
0.922977328300476,0.3613235354423523,11,Centralized
0.8783171772956848,0.5247907638549805,11,Federated
0.9203883409500122,0.2996884286403656,11,Centralized
0.9061488509178162,0.3542883396148681,11,Federated
0.9333333373069764,0.1957677006721496,12,Centralized
0.8951456546783447,0.3149949312210083,12,Federated
0.9449838399887084,0.1624856442213058,12,Centralized
0.8770226240158081,0.4605016410350799,12,Federated
0.937864065170288,0.1953385323286056,12,Centralized
0.8919093608856201,0.4932317733764648,12,Federated
0.92233008146286,0.3953914046287536,12,Centralized
0.8912621140480042,0.5034943222999573,12,Federated
0.931067943572998,0.2226782292127609,12,Centralized
0.8792880177497864,0.5055999755859375,12,Federated
0.9339805841445924,0.2941349148750305,12,Centralized
0.8941747546195984,0.4317750632762909,12,Federated
0.9265372157096864,0.2109436690807342,12,Centralized
0.8987054824829102,0.3517049252986908,12,Federated
0.9207119941711426,0.3266561925411224,12,Centralized
0.8944984078407288,0.3227348923683166,12,Federated
0.924271821975708,0.2920808494091034,12,Centralized
0.8987054824829102,0.3610680699348449,12,Federated
0.93236243724823,0.2456985861063003,12,Centralized
0.8873786330223083,0.4433388411998749,12,Federated
0.9252427220344543,0.2896132469177246,13,Centralized
0.8877022862434387,0.5712260007858276,13,Federated
0.92556631565094,0.2595569491386413,13,Centralized
0.9016181230545044,0.3567472100257873,13,Federated
0.9352750778198242,0.2202934920787811,13,Centralized
0.906796097755432,0.3211067914962768,13,Federated
0.9252427220344543,0.3138826489448547,13,Centralized
0.8896440267562866,0.3977034091949463,13,Federated
0.9226537346839904,0.2276814430952072,13,Centralized
0.9064725041389464,0.3236207962036133,13,Federated
0.937864065170288,0.1847691982984542,13,Centralized
0.8896440267562866,0.426617294549942,13,Federated
0.9388349652290344,0.1830492913722992,13,Centralized
0.9061488509178162,0.3320135474205017,13,Federated
0.9401294589042664,0.2204171419143676,13,Centralized
0.9029126167297364,0.3760679066181183,13,Federated
0.9352750778198242,0.2048559933900833,13,Centralized
0.8896440267562866,0.3815090656280517,13,Federated
0.939805805683136,0.2128083407878875,13,Centralized
0.9003236293792725,0.3855718076229095,13,Federated
0.9226537346839904,0.4320990145206451,14,Centralized
0.8922330141067505,0.4764182269573211,14,Federated
0.9252427220344543,0.2966221570968628,14,Centralized
0.8915857672691345,0.4879994094371795,14,Federated
0.9355987310409546,0.2018026262521743,14,Centralized
0.8812297582626343,0.3899403512477875,14,Federated
0.9401294589042664,0.1530191004276275,14,Centralized
0.8948220014572144,0.3818077743053436,14,Federated
0.94595468044281,0.1606072038412094,14,Centralized
0.8944984078407288,0.4401574730873108,14,Federated
0.9375404715538024,0.1796451658010482,14,Centralized
0.9025890231132508,0.4195406138896942,14,Federated
0.92912620306015,0.264759749174118,14,Centralized
0.8935275077819824,0.4315823018550873,14,Federated
0.9339805841445924,0.1914175897836685,14,Centralized
0.8851132392883301,0.4041617810726166,14,Federated
0.9320388436317444,0.2292438596487045,14,Centralized
0.9038835167884828,0.3171760737895965,14,Federated
0.9423947930336,0.1664219200611114,14,Centralized
0.8951456546783447,0.3274871408939361,14,Federated
0.9388349652290344,0.1690311729907989,15,Centralized
0.9061488509178162,0.3446017801761627,15,Federated
0.9171521067619324,0.3745942711830139,15,Centralized
0.8880258798599243,0.4751363694667816,15,Federated
0.9420711994171144,0.1521825343370437,15,Centralized
0.8915857672691345,0.4283456802368164,15,Federated
0.9388349652290344,0.2007930427789688,15,Centralized
